Code,Name,Description,Units,Program Code,Year Level,Semester,Prerequisites
GE101,Understanding the Self,Self-awareness and development,3,BIT,1st Year,1st Semester,
GE102,Readings in Philippine History,Philippine historical development,3,BIT,1st Year,1st Semester,
MATH101,Mathematics in the Modern World,Mathematical concepts and applications,3,BIT,1st Year,1st Semester,
ENG101,Purposive Communication,Effective communication skills,3,BIT,1st Year,1st Semester,
PE101,Physical Fitness,Physical education and wellness,2,BIT,1st Year,1st Semester,
NSTP101,NSTP 1,National service training,3,BIT,1st Year,1st Semester,
GE103,The Contemporary World,Global issues and perspectives,3,BIT,1st Year,2nd Semester,
FIL101,Kontekstwalisadong Komunikasyon,Filipino communication,3,BIT,1st Year,2nd Semester,
SCI101,Science Technology and Society,Scientific literacy,3,BIT,1st Year,2nd Semester,
IT101,Introduction to Industrial Technology,Overview of industrial processes,3,BIT,1st Year,2nd Semester,
PE102,Rhythmic Activities,Dance and movement,2,BIT,1st Year,2nd Semester,PE101
NSTP102,NSTP 2,Community service,3,BIT,1st Year,2nd Semester,NSTP101
GE104,Ethics,Moral philosophy and decision making,3,BIT,2nd Year,1st Semester,
IT201,Industrial Safety and Health,Workplace safety practices,3,BIT,2nd Year,1st Semester,
IT202,Quality Control and Assurance,Quality management systems,3,BIT,2nd Year,1st Semester,
IT203,Industrial Materials,Properties of industrial materials,3,BIT,2nd Year,1st Semester,
PE103,Individual and Dual Sports,Sports and athletics,2,BIT,2nd Year,1st Semester,PE102
RES101,Research Methods,Basic research methodology,3,BIT,2nd Year,1st Semester,
GE105,Art Appreciation,Understanding visual arts,3,BIT,2nd Year,2nd Semester,
IT204,Industrial Processes,Manufacturing processes,3,BIT,2nd Year,2nd Semester,IT203
IT205,Tool and Die Making,Precision tooling,3,BIT,2nd Year,2nd Semester,IT203
IT206,Machine Shop Practice,Machine operation,3,BIT,2nd Year,2nd Semester,IT203
PE104,Team Sports,Team-based athletics,2,BIT,2nd Year,2nd Semester,PE103
GE201,Life and Works of Rizal,Philippine national hero,3,BIT,3rd Year,1st Semester,
IT301,Industrial Automation,Automated systems,3,BIT,3rd Year,1st Semester,IT204
IT302,Computer-Aided Design,CAD software and applications,3,BIT,3rd Year,1st Semester,IT204
IT303,Welding Technology,Welding techniques and safety,3,BIT,3rd Year,1st Semester,IT206
IT304,Practicum 1,On-the-job training,6,BIT,3rd Year,1st Semester,"IT204,IT205,IT206"
IT401,Entrepreneurship,Business fundamentals,3,BIT,3rd Year,2nd Semester,
IT402,Capstone Project,Final project,6,BIT,3rd Year,2nd Semester,"IT301,IT302,IT303"
CS101,Introduction to Computing,Computing fundamentals,3,BSIT,1st Year,1st Semester,
MATH101,Calculus 1,Differential calculus,3,BSIT,1st Year,1st Semester,
ENG101,Purposive Communication,Communication skills,3,BSIT,1st Year,1st Semester,
GE101,Understanding the Self,Self-awareness,3,BSIT,1st Year,1st Semester,
PE101,Physical Fitness,Physical education,2,BSIT,1st Year,1st Semester,
NSTP101,NSTP 1,National service training,3,BSIT,1st Year,1st Semester,
CS102,Computer Programming 1,Programming fundamentals,3,BSIT,1st Year,2nd Semester,CS101
MATH102,Calculus 2,Integral calculus,3,BSIT,1st Year,2nd Semester,MATH101
FIL101,Komunikasyon sa Filipino,Filipino communication,3,BSIT,1st Year,2nd Semester,
GE102,Readings in Philippine History,Philippine history,3,BSIT,1st Year,2nd Semester,
PE102,Rhythmic Activities,Dance and fitness,2,BSIT,1st Year,2nd Semester,PE101
NSTP102,NSTP 2,Community service,3,BSIT,1st Year,2nd Semester,NSTP101
CS201,Computer Programming 2,Object-oriented programming,3,BSIT,2nd Year,1st Semester,CS102
CS202,Data Structures and Algorithms,Data structures,3,BSIT,2nd Year,1st Semester,CS102
CS203,Discrete Mathematics,Mathematical structures,3,BSIT,2nd Year,1st Semester,MATH102
GE103,The Contemporary World,Global perspectives,3,BSIT,2nd Year,1st Semester,
PE103,Individual Sports,Athletics,2,BSIT,2nd Year,1st Semester,PE102
CS204,Database Management Systems,Database design and SQL,3,BSIT,2nd Year,2nd Semester,CS202
CS205,Web Development,Web technologies,3,BSIT,2nd Year,2nd Semester,CS201
CS206,Information Management,Information systems,3,BSIT,2nd Year,2nd Semester,CS204
GE104,Ethics,Moral philosophy,3,BSIT,2nd Year,2nd Semester,
PE104,Team Sports,Team athletics,2,BSIT,2nd Year,2nd Semester,PE103
CS301,Software Engineering,SDLC and methodologies,3,BSIT,3rd Year,1st Semester,"CS201,CS204"
CS302,Operating Systems,OS concepts and management,3,BSIT,3rd Year,1st Semester,CS202
CS303,Computer Networks,Networking fundamentals,3,BSIT,3rd Year,1st Semester,CS202
GE105,Art Appreciation,Visual arts,3,BSIT,3rd Year,1st Semester,
GE201,Life and Works of Rizal,Rizal's legacy,3,BSIT,3rd Year,1st Semester,
CS304,System Analysis and Design,Systems development,3,BSIT,3rd Year,2nd Semester,CS301
CS305,Human Computer Interaction,UI/UX design,3,BSIT,3rd Year,2nd Semester,CS301
CS306,Mobile Application Development,Mobile app programming,3,BSIT,3rd Year,2nd Semester,CS205
RES101,Research Methods,Research fundamentals,3,BSIT,3rd Year,2nd Semester,
CS401,Capstone Project 1,Project development,3,BSIT,4th Year,1st Semester,"CS301,CS304"
CS402,IT Practicum,Industry immersion,6,BSIT,4th Year,1st Semester,"CS301,CS304"
CS403,Information Assurance and Security,Cybersecurity,3,BSIT,4th Year,1st Semester,CS303
CS404,Capstone Project 2,Project completion,3,BSIT,4th Year,2nd Semester,CS401
ENT101,Fundamentals of Entrepreneurship,Entrepreneurship basics,3,BSEntrep,1st Year,1st Semester,
MATH101,Mathematics in Business,Business mathematics,3,BSEntrep,1st Year,1st Semester,
ENG101,Purposive Communication,Communication skills,3,BSEntrep,1st Year,1st Semester,
GE101,Understanding the Self,Self-development,3,BSEntrep,1st Year,1st Semester,
PE101,Physical Fitness,Physical education,2,BSEntrep,1st Year,1st Semester,
NSTP101,NSTP 1,National service,3,BSEntrep,1st Year,1st Semester,
ENT102,Business Planning,Business plan development,3,BSEntrep,1st Year,2nd Semester,ENT101
ACC101,Financial Accounting,Accounting fundamentals,3,BSEntrep,1st Year,2nd Semester,
FIL101,Komunikasyon sa Filipino,Filipino communication,3,BSEntrep,1st Year,2nd Semester,
